料理の種類,料理名,エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム],,
パン,卵サンドイッチ,304,9.8,20.7,18.7,1.1,8.0,食パン・市販品,36,有塩バター,6,鶏卵・全卵＿生,50,きゅうり・ピクルス・スイート型,5,マヨネーズ・全卵型,12,パセリ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,チーズ野菜サンドイッチ,260,11.8,14.5,20.3,1.6,80.0,食パン・市販品,36,プロセスチーズ,20,豚・ハム・ロース,20,きゅうり＿生,30,トマト＿生,30,レタス＿生,20,ソフトタイプマーガリン,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,ツナサンドイッチ,338,10.9,24.2,18.9,1.4,30.0,食パン・市販品,36,まぐろ・缶詰油漬フレーク・ライト,40,たまねぎ・りん茎＿生,10,マヨネーズ・全卵型,12,食塩,0.3,こしょう・黒、粉,0.01,レタス＿生,20,ソフトタイプマーガリン,6,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,トースト（食パン6枚切り1枚）,158,5.6,2.6,28.0,0.8,0.0,食パン・市販品,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,バタートースト（食パン6枚切り1枚）,203,5.6,7.5,28.0,0.9,0.0,食パン・市販品,60,有塩バター,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,いちごジャムトースト（食パン6枚切り1枚）,212,5.7,2.7,41.3,0.8,0.0,食パン・市販品,60,いちご・ジャム・高糖度,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,ピザトースト（食パン6枚切り1枚）,299,15.3,12.0,32.0,2.3,21.0,食パン・市販品,60,トマト加工品・トマトソース,22,豚・ハム・ロース,20,たまねぎ・りん茎＿生,10,青ピーマン＿生,8,プロセスチーズ,25,パセリ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,フレンチトースト（食パン6枚切り1枚）,305,11.0,12.7,35.9,1.1,0.0,食パン・市販品,60,有塩バター,6,鶏卵・全卵＿生,25,普通牛乳,70,車糖・上白糖,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,チーズトースト（食パン6枚切り1枚）,243,11.3,9.1,28.4,1.5,0.0,食パン・市販品,60,プロセスチーズ,25,こしょう・黒、粉,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,クリームパン（1個）,183,6.2,6.5,24.8,0.5,0.0,クリームパン,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,あんぱん（1個）,280,7.9,5.3,50.2,0.7,0.0,あんパン,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,ジャムパン（1個）,297,6.6,5.8,54.5,0.8,0.0,ジャムパン,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,チョココロネ（1個）,246,4.0,9.5,36.1,0.4,0.0,チョココロネ,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,かけうどん,325,8.9,0.9,64.1,4.5,10.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,わかめうどん,327,9.2,1.0,64.7,4.8,30.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,湯通し塩蔵わかめ＿塩抜き,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,きつねうどん,446,14.6,10.9,66.1,4.8,10.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,油揚げ,30,かつお・昆布だし,5,車糖・上白糖,1,こいくちしょうゆ,2,,,,,,,,,,,,,,,,,,,,,,,,
麺,肉うどん,499,17.4,9.9,74.9,6.6,40.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,和牛・かた・脂身つき＿生,40,たまねぎ・りん茎＿生,30,かつお・昆布だし,20,清酒・上撰,10,こいくちしょうゆ,14,車糖・上白糖,4,みりん・本みりん,5,,,,,,,,,,,,,,,,,,
麺,やまかけうどん,379,11.1,1.2,75.4,4.5,10.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,やまのいも・いちょういも＿生,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,月見うどん,401,15.0,6.1,64.2,4.7,10.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,鶏卵・全卵＿生,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,えび天うどん（えび天1尾）,451,20.5,8.1,66.6,5.1,10.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,ブラックタイガー・養殖＿生,60,食塩,0.36,薄力粉・1等,3,鶏卵・全卵＿生,3,調合油,6.6,,,,,,,,,,,,,,,,,,,,,,
麺,ごぼう天うどん,430,10.2,8.2,72.5,4.7,50.0,うどん＿ゆで,230,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,ごぼう・根＿生,40,食塩,0.24,薄力粉・1等,3,鶏卵・全卵＿生,3,調合油,6.9,,,,,,,,,,,,,,,,,,,,,,
麺,かけそば,348,12.5,2.0,66.4,3.8,10.0,そば＿ゆで,200,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,ざるそば,304,11.8,2.0,60.1,2.7,11.0,そば＿ゆで,200,根深ねぎ・葉、軟白＿生,10,あまのり・焼きのり,1,めんつゆ・ストレート,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,わかめそば,350,12.8,2.1,67.0,4.1,30.0,そば＿ゆで,200,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,湯通し塩蔵わかめ＿塩抜き,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,肉そば,522,21.0,11.0,77.3,5.9,40.0,そば＿ゆで,200,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,和牛・かた・脂身つき＿生,40,たまねぎ・りん茎＿生,30,かつお・昆布だし,20,清酒・上撰,10,こいくちしょうゆ,14,車糖・上白糖,4,みりん・本みりん,5,,,,,,,,,,,,,,,,,,
麺,えび天そば,473,24.1,9.2,68.9,4.4,10.0,そば＿ゆで,200,かつお・昆布だし,300,こいくちしょうゆ,24,みりん・本みりん,24,根深ねぎ・葉、軟白＿生,10,ブラックタイガー・養殖＿生,60,食塩,0.36,薄力粉・1等,3,鶏卵・全卵＿生,3,調合油,6.6,,,,,,,,,,,,,,,,,,,,,,
麺,ソース焼きそば,478,15.8,13.5,70.1,3.1,110.2,蒸し中華めん,150,豚・ロース・脂身つき＿生,30,キャベツ＿生,40,たまねぎ・りん茎＿生,30,ブラックマッペもやし＿生,30,にんじん・根、皮つき＿生,10,調合油,5,ウスターソース,20,こいくちしょうゆ,5,あおのり＿素干し,0.2,,,,,,,,,,,,,,,,,,,,,,
麺,冷やし中華,483,19.4,10.7,73.1,3.5,80.0,中華めん＿生,120,豚・ハム・ロース,20,鶏卵・全卵＿生,30,調合油,1,きゅうり＿生,50,ブラックマッペもやし＿生,30,穀物酢,10,こいくちしょうゆ,7.5,車糖・上白糖,1.5,顆粒風味調味料,1,ごま油,2,からし・練り,2,,,,,,,,,,,,,,,,,,
麺,ミートソーススパゲティ,632,25.9,20.7,79.9,4.2,69.0,マカロニ・スパゲッティ＿乾,85,牛・ひき肉＿生,70,たまねぎ・りん茎＿生,45,にんじん・根、皮つき＿生,10,セロリー・葉柄＿生,10,にんにく・りん茎＿生,1,薄力粉・1等,1,有塩バター,10,トマト加工品・ケチャップ,25,ウスターソース・中濃ソース,15,固形コンソメ,0.5,食塩,2,こしょう・混合、粉,0.02,パセリ・葉＿生,3,,,,,,,,,,,,,,
麺,カルボナーラスパゲティ,760,19.3,45.9,61.9,3.8,0.0,マカロニ・スパゲッティ＿乾,85,豚・ベーコン・ベーコン,30,鶏卵・全卵＿生,18,クリーム、乳脂肪・植物性脂肪,10,ナチュラルチーズ・パルメザン,4,食塩,3,こしょう・白、粉,0.03,調合油,25,,,,,,,,,,,,,,,,,,,,,,,,,,
麺,マカロニグラタン,516,19.9,25.1,50.2,4.5,65.0,マカロニ・スパゲッティ＿乾,40,しばえび＿生,40,たまねぎ・りん茎＿生,40,マッシュルーム・水煮缶詰,25,調合油,6,食塩,1.5,こしょう・混合、粉,0.01,有塩バター,12,薄力粉・1等,13,普通牛乳,105,食塩,2,ナチュラルチーズ・パルメザン,2,パン粉＿乾燥,3,有塩バター,4,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,豚肉のしょうが焼き,280,17.9,21.3,1.2,1.0,5.0,豚・ロース・脂身つき＿生,90,こいくちしょうゆ,6,清酒・上撰,1,しょうが・根茎＿生,5,調合油,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏もも肉の照り焼き,225,13.7,15.2,4.8,1.4,0.0,若鶏・もも、皮つき＿生,80,こいくちしょうゆ,9,みりん・本みりん,9,調合油,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏むね肉の味噌ダレ焼き,154,14.4,8.5,2.9,0.9,0.0,若鶏・むね、皮つき＿生,70,米みそ・淡色辛みそ,4,こいくちしょうゆ,2,みりん風調味料,3,清酒・上撰,2.5,ごま＿乾,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏の甘酢あんかけ,210,10.7,12.5,12.5,0.7,35.0,若鶏・もも、皮つき＿生,60,たまねぎ・りん茎＿生,10,青ピーマン＿生,10,にんじん・根、皮つき＿生,15,じゃがいもでん粉,3,調合油,4,こいくちしょうゆ,4,穀物酢,5,車糖・上白糖,5,中華だし,50,じゃがいもでん粉,2.25,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏のきのこあんかけ,179,13.2,9.1,9.3,1.0,45.0,若鶏・むね、皮つき＿生,60,清酒・上撰,7.5,調合油,2,たまねぎ・りん茎＿生,20,えのきたけ＿生,10,しめじ・ぶなしめじ＿生,10,こねぎ・葉＿生,5,かつお・昆布だし,50,こいくちしょうゆ,6,みりん風調味料,6,じゃがいもでん粉,2,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏もも肉のマヨ焼き,197,10.0,15.9,0.9,0.3,0.2,若鶏・もも、皮つき＿生,60,清酒・上撰,5,マヨネーズ・全卵型,10,こいくちしょうゆ,0.6,あおのり＿素干し,0.2,とうがらし・粉,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,鶏肉のマーマレード焼き,141,13.7,6.7,5.1,1.1,0.0,若鶏・もも、皮なし＿生,70,こいくちしょうゆ,6.7,オレンジ・マーマレード・高糖度,7,調合油,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,ハンバーグ,308,17.6,19.4,13.5,2.4,50.0,牛・ひき肉＿生,40,豚・ひき肉＿生,40,たまねぎ・りん茎＿生,50,パン粉＿乾燥,6,普通牛乳,6,鶏卵・全卵＿生,6,食塩,1.5,調合油,6,トマト加工品・ケチャップ,7.5,ウスターソース・中濃ソース,9,,,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,蓮根ハンバーグ,173,13.7,8.0,10.4,1.1,52.5,鶏・ひき肉＿生,60,れんこん・根茎＿生,30,にんじん・根、皮つき＿生,10,根深ねぎ・葉、軟白＿生,10,しょうが・根茎＿生,2.5,清酒・上撰,1.25,こいくちしょうゆ,1.5,じゃがいもでん粉,1.5,調合油,3,車糖・上白糖,2,こいくちしょうゆ,5,,,,,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,豆腐ハンバーグ＿ジャポネソース,244,14.4,12.0,17.3,1.8,67.6,牛・ひき肉＿生,25,豚・ひき肉＿生,25,木綿豆腐,40,ひじき・ほしひじき,2,鶏卵・全卵＿生,6.2,食塩,0.3,こしょう・白、粉,0.01,調合油,2,たまねぎ・りん茎＿生,50,にんにく・りん茎＿生,2,車糖・上白糖,4.5,こいくちしょうゆ,9,みりん風調味料,9,ぶどう酒・赤,11,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,焼き餃子（5個）,337,14.1,18.2,26.3,1.9,55.3,ぎょうざの皮,40,豚・ひき肉＿生,50,にら・葉＿生,20,キャベツ＿生,10,根深ねぎ・葉、軟白＿生,15,はくさい＿生,10,にんにく・りん茎＿生,0.3,食塩,1,こしょう・黒、粉,0.02,調合油,8,こいくちしょうゆ,6,穀物酢,3,ラー油,2,,,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,つくね,188,11.3,8.9,10.0,0.7,29.0,豚・ひき肉＿生,50,たまねぎ・りん茎＿生,15,しょうが・根茎＿生,2,こねぎ・葉＿生,2,ごぼう・根＿生,10,鶏卵・全卵＿生,10,じゃがいもでん粉,5,食塩,0.3,こしょう・混合、粉,0.01,こいくちしょうゆ,2,みりん風調味料,1,車糖・上白糖,1,清酒・上撰,20,ごま＿いり,0.5,,,,,,,,,,,,,,
肉料理＿焼き物・炒め物,肉野菜炒め,261,19.8,15.4,8.8,3.1,125.0,豚・もも・脂身つき＿生,90,食塩,1,こしょう・混合、粉,0.01,たまねぎ・りん茎＿生,30,にんじん・根、皮つき＿生,20,青ピーマン＿生,15,キャベツ＿生,60,調合油,6,食塩,2,清酒・上撰,5,,,,,,,,,,,,,,,,,,,,,,
肉料理＿揚げ物,とんカツ（ソース付き）,396,19.2,29.2,10.2,1.2,0.0,豚・ロース・脂身つき＿生,90,食塩,0.5,こしょう・混合、粉,0.01,薄力粉・1等,5,鶏卵・全卵＿生,5,パン粉＿乾燥,5,調合油,11,ウスターソース・中濃ソース,10,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿揚げ物,ヒレカツ（ソース付き）,233,19.7,12.3,8.8,1.1,0.0,豚・ヒレ・赤肉＿生,80,食塩,0.4,こしょう・黒、粉,0.01,薄力粉・1等,4,鶏卵・全卵＿生,4,パン粉＿乾燥,4,調合油,10,ウスターソース・中濃ソース,10,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿揚げ物,チキンカツ（ソース付き）,301,14.4,22.0,8.7,1.2,0.0,若鶏・もも、皮つき＿生,80,食塩,0.5,こしょう・混合、粉,0.01,薄力粉・1等,4,鶏卵・全卵＿生,4,パン粉＿乾燥,4,調合油,10,ウスターソース・中濃ソース,10,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿揚げ物,鶏もも肉のから揚げ,317,16.7,24.0,5.2,0.8,3.5,若鶏・もも、皮つき＿生,100,しょうが・根茎＿生,2,にんにく・りん茎＿生,1.5,こいくちしょうゆ,5,清酒・上撰,2.5,じゃがいもでん粉,5,調合油,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉料理＿揚げ物,ポテトコロッケ,412,11.9,27.9,26.3,1.1,20.0,じゃがいも＿生,100,豚・ひき肉＿生,45,たまねぎ・りん茎＿生,20,調合油,4,食塩,1,こしょう・混合、粉,0.01,薄力粉・1等,5,鶏卵・全卵＿生,5,パン粉＿乾燥,5,調合油,16,,,,,,,,,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,筑前煮,234,10.9,9.2,24.8,0.8,86.4,若鶏・もも、皮つき＿生,50,さといも＿生,50,ごぼう・根＿生,20,れんこん・根茎＿生,25,にんじん・根、皮つき＿生,25,板こんにゃく（精粉こんにゃく）,20,乾ししいたけ＿乾,2,調合油,2,かつお・昆布だし,50,車糖・上白糖,2.2,清酒・上撰,7.5,みりん・本みりん,9,こいくちしょうゆ,4.5,さやいんげん・若ざや＿生,5,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,肉じゃが,309,10.7,13.2,34.0,1.4,65.0,和牛・もも・脂身つき＿生,40,じゃがいも＿生,100,にんじん・根、皮つき＿生,25,たまねぎ・りん茎＿生,40,こんにゃく・しらたき,20,調合油,6,かつお・昆布だし,50,車糖・上白糖,4.5,清酒・上撰,7.5,みりん・本みりん,9,こいくちしょうゆ,9,,,,,,,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,ロールキャベツ（コンソメ味）,195,13.6,9.9,12.5,2.2,117.0,牛・ひき肉＿生,25,豚・ひき肉＿生,25,たまねぎ・りん茎＿生,40,パン粉＿乾燥,5,普通牛乳,12,鶏卵・全卵＿生,12,食塩,1,キャベツ＿生,75,固形コンソメ,2.5,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,すきやき,537,24.6,38.1,19.3,4.2,98.0,和牛・かたロース・脂身つき＿生,80,焼き豆腐,50,こんにゃく・しらたき,30,しゅんぎく・葉＿生,20,根深ねぎ・葉、軟白＿生,25,はくさい＿生,40,生しいたけ＿生,13,車糖・上白糖,10,清酒・上撰,9,こいくちしょうゆ,27,鶏卵・全卵＿生,50,,,,,,,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,ビーフシチュー,446,13.4,29.7,26.8,2.7,120.0,和牛・かたロース・脂身つき＿生,50,じゃがいも＿生,50,たまねぎ・りん茎＿生,40,にんじん・根、皮つき＿生,30,ブロッコリー・花序＿生,30,マッシュルーム・水煮缶詰,20,調合油,4,薄力粉・1等,8,有塩バター,8,ぶどう酒・赤,25,トマト加工品・ピューレー,25,食塩,1.5,こしょう・白、粉,0.02,洋風だし,150,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,クリームシチュー,302,12.4,17.4,21.7,1.7,85.0,若鶏・むね、皮つき＿生,35,じゃがいも＿生,40,にんじん・根、皮つき＿生,20,たまねぎ・りん茎＿生,35,ブロッコリー・花序＿生,30,調合油,3,有塩バター,10,薄力粉・1等,7,普通牛乳,50,洋風だし,70,ぶどう酒・白,12,食塩,1,,,,,,,,,,,,,,,,,,
肉料理＿煮物・茹でる,冷しゃぶ,204,13.3,13.9,4.5,0.5,63.0,豚・ロース・脂身つき＿生,60,清酒・上撰,5,きゅうり＿生,20,トマト＿生,40,かいわれ大根・芽生え＿生,3,ごま＿乾,4.5,こいくちしょうゆ,3,穀物酢,2.5,車糖・上白糖,0.37,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,あじの塩焼き,85,14.5,2.5,0.1,0.9,0.0,あじ・まあじ＿生,70,食塩,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,サンマの塩焼き,279,16.7,22.1,0.1,1.3,0.0,さんま＿生,90,食塩,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
